Dates,Population_Moves,Interest_Rates,House_Prices,Overseas_Immigration
Jun-1992,11436,6.5,873750,9281
Sep-1992,12932,5.75,435000,13284
Dec-1992,7069,5.75,2296000,13295
Mar-1993,12601,5.6,2607500,12477
Jun-1993,4631,5.25,1961388,10337
Sep-1993,14604,4.75,1714100,9593
Dec-1993,10512,4.75,160000,6138
Mar-1994,16925,4.75,1207000,6483
Jun-1994,7723,4.75,1302000,3526
Sep-1994,18239,5.5,2753000,5174
Dec-1994,8814,7.05,475500,4901
Mar-1995,16038,7.5,1639000,4748
Jun-1995,17650,7.5,2942000,5875
Sep-1995,19088,7.5,2285500,7967
Dec-1995,19323,7.5,4398000,7376
Mar-1996,15835,7.5,5105000,9033
Jun-1996,16655,7.5,2951000,6903
Sep-1996,19790,7,3736000,9472
Dec-1996,18297,6.18,1872000,11725
Mar-1997,19755,6,3997000,10523
Jun-1997,11964,5.5,3341000,9202
Sep-1997,14600,5,4997000,12290
Dec-1997,14099,5,1766000,12826
Mar-1998,20294,5,875000,14819
Jun-1998,10539,5,1130000,12758
Sep-1998,18312,5,2799250,15572
Dec-1998,14679,4.76,11195950,15170
Mar-1999,21762,4.75,54671500,18575
Jun-1999,14551,4.75,39131888,12173
Sep-1999,17997,4.75,14337015,21495
Dec-1999,16871,5,3847388,16998
Mar-2000,21855,5.5,34731600,16594
Jun-2000,14732,6,32718700,7549
Sep-2000,19056,6.25,25793339,14092
Dec-2000,19467,6.25,8155000,14459
Mar-2001,28763,5.55,49536610,13847
Jun-2001,16505,5,57246948,9801
Sep-2001,14542,4.78,40444050,10649
Dec-2001,13593,4.28,15382001,7053
Mar-2002,16812,4.25,44983450,12878
Jun-2002,5511,4.72,74901007,5916
Sep-2002,9852,4.75,43729166,11509
Dec-2002,8782,4.75,51521130,4838
Mar-2003,16271,4.75,172305260,11443
Jun-2003,5003,4.75,174965817,3388
Sep-2003,6823,4.75,100908081,6423
Dec-2003,6971,5.23,70953750,1890
Mar-2004,13771,5.25,137074851,6812
Jun-2004,2455,5.25,138967400,-2497
Sep-2004,9681,5.25,149828000,8122
Dec-2004,8790,5.25,44827250,3199
Mar-2005,16669,5.49,147655302,8097
Jun-2005,7331,5.5,297158583,2511
Sep-2005,14223,5.5,232640585,12369
Dec-2005,10594,5.5,139579760,2602
Mar-2006,17505,5.5,286821857,9776
Jun-2006,7162,5.75,336735838,11205
Sep-2006,23443,6,389927757,12797
Dec-2006,20027,6.25,115453500,14384
Mar-2007,29199,6.25,207976698,11172
Jun-2007,18797,6.25,257724943,9692
Sep-2007,25580,6.5,226315968,13982
Dec-2007,24116,6.75,180809802,9484
Mar-2008,36055,7.22,335330745,11134
Jun-2008,23554,7.25,438917551,2691
Sep-2008,28934,7.02,419485166,9222
Dec-2008,29387,4.35,340556917,6668
Mar-2009,30641,3.25,303643754,12292
Jun-2009,21332,3,365110125,3661
Sep-2009,25420,3,518241065,11777
Dec-2009,22329,3.74,263533985,7498
Mar-2010,26852,3.98,533376278,13771
Jun-2010,15936,4.5,513872971,8042
Sep-2010,18434,4.5,363444043,11258
Dec-2010,17165,4.75,263699880,10763
Mar-2011,24846,4.75,513739306,14023
Jun-2011,13792,4.75,688899792,7645
Sep-2011,20999,4.75,905445065,13329
Dec-2011,19194,4.3,213068410,12348
Mar-2012,26260,4.25,446954788,22036
Jun-2012,19262,3.54,485481818,10906
Sep-2012,23370,3.5,543881210,11376
Dec-2012,25575,3.03,286882075,12872
Mar-2013,29768,3,317578269,14230
Jun-2013,21075,2.75,396476331,5933
Sep-2013,26872,2.75,362412535,10844
Dec-2013,24034,2.5,577176483,9885
Mar-2014,32896,2.5,438361665,15031
Jun-2014,20519,2.5,658155323,5159
Sep-2014,27924,2.5,502976992,7722
Dec-2014,25894,2.5,483088927,7481
Mar-2015,33560,2.5,422475862,11640
Jun-2015,20437,2.25,647960448,2977
Sep-2015,29156,2,844733116,9151
Dec-2015,26077,2,512480303,7901
Mar-2016,36011,2,470786051,13768
Jun-2016,25446,2,627249763,4385
Sep-2016,38066,1.75,606031700,10786
Dec-2016,30861,1.5,917534411,8641
Mar-2017,41036,1.5,401301239,15160
Jun-2017,25115,1.5,530837096,3936
Sep-2017,36277,1.5,542472984,18905
Dec-2017,18156,1.5,685647109,17010
Mar-2018,35393,1.5,671333842,23022
Jun-2018,30479,1.5,510083969,14633
Sep-2018,35499,1.5,509296435,20903
,,,,18339
,,,,29416
,,,,18731
,,,,25036
,,,,23244
,,,,23899
,,,,14564
,,,,17707
,,,,13994
,,,,17556
,,,,7895
,,,,11970
,,,,12623
,,,,17961
,,,,9121
,,,,14098
,,,,12985
,,,,17902
,,,,12241
,,,,16536
,,,,16456
,,,,20704
,,,,13067
,,,,18629
,,,,15183
,,,,21805
,,,,11375
,,,,19303
,,,,15869
,,,,22897
,,,,12240
,,,,20471
,,,,17230
,,,,26055
,,,,16251
,,,,30126
,,,,23770
,,,,33051
,,,,18555
,,,,28130
,,,,15304
,,,,29932
,,,,16447
,,,,27251
